Welcome to the BinaryCalculator
53666738998 - -134519290179 = -86691877767
53666738998 * -134519290179 = 130800177886
112 + -86 = 26
112 - -86 = -58
112 * -86 = 96
-10621789666301 + 6727926365088 = -3893863301213
-10621789666301 - 6727926365088 = -17349716031389
-10621789666301 * 6727926365088 = -9957681777952
-508470260819129 + -97967975352151 = 519461670671344
-508470260819129 - -97967975352151 = -410502285466978
-508470260819129 * -97967975352151 = -374351746168353
3486696 + 6344266 = -6946254
3486696 - 6344266 = -2857570
3486696 * 6344266 = 2470160
-136 + 177 = 41
-136 - 177 = -313
-136 * 177 = 504
-15873993117 + 746171530 = -15127821587
-15873993117 - 746171530 = -16620164647
-15873993117 * 746171530 = 31763305822
90404 + -119267 = -28863
90404 - -119267 = -52473
90404 * -119267 = 30996
-12529716477015 + 25803971501750 = 13274255024735
-12529716477015 - 25803971501750 = 32035056198899
-12529716477015 * 25803971501750 = -29241595008986
87088 + -55687 = 31401
87088 - -55687 = -119369
87088 * -55687 = -5456
-3870727309012022 + 227993877479598 = -3642733431532424
-3870727309012022 - 227993877479598 = -4098721186491620
-3870727309012022 * 227993877479598 = -3992151906127028
-15 + -16 = 1
-15 - -16 = 1
-15 * -16 = -16
-487455187 + -326757237 = 259529400
-487455187 - -326757237 = -160697950
-487455187 * -326757237 = 426958447
-701272191 + 219704798 = -481567393
-701272191 - 219704798 = -920976989
-701272191 * 219704798 = 674012894
-7070590479278881 + 2838418374162981 = -4232172105115900
-7070590479278881 - 2838418374162981 = 8105389656040122
-7070590479278881 * 2838418374162981 = 6541348453397051
5349777519 + -45034060097 = -39684282578
5349777519 - -45034060097 = 50383837616
5349777519 * -45034060097 = -30657409839
-5781 + 12542 = 6761
-5781 - 12542 = 14445
-5781 * 12542 = 10282
6113947238 + 13182630130 = 19296577368
6113947238 - 13182630130 = -7068682892
6113947238 * 13182630130 = 14062791788
-547 + -771 = 730
-547 - -771 = 224
-547 * -771 = -151
-869 + 1355 = 486
-869 - 1355 = 1872
-869 * 1355 = -1943
41 + -24 = 17
41 - -24 = 65
41 * -24 = 40
-390488351859 + 483808769283 = 93320417424
-390488351859 - 483808769283 = 225214506634
-390488351859 * 483808769283 = 137989374887
-4677 + -19284 = -23961
-4677 - -19284 = 14607
-4677 * -19284 = 13732
41213729 + 116834012 = -110387715
41213729 - 116834012 = -75620283
41213729 * 116834012 = -104841636
3662 + 1990 = -2540
3662 - 1990 = 1672
3662 * 1990 = -3500
18 + -2 = 16
18 - -2 = 20
18 * -2 = 28
-177608271147 + -190673117419 = 181474425322
-177608271147 - -190673117419 = 13064846272
-177608271147 * -190673117419 = 8972975737
1009391482039 + 4023674045461 = -3763027494708
1009391482039 - 4023674045461 = -3014282563422
1009391482039 * 4023674045461 = -972980801789
5747516407 + 9030846592 = 14778362999
5747516407 - 9030846592 = -3283330185
5747516407 * 9030846592 = 8953525120
1471900296 + -1078949193 = 392951103
1471900296 - -1078949193 = -1744117807
1471900296 * -1078949193 = 1944483640
-2815 + -1904 = -4719
-2815 - -1904 = -911
-2815 * -1904 = 2192
-28 + -21 = -49
-28 - -21 = -7
-28 * -21 = -52
14038739873095 + -5267434163467 = 8771305709628
14038739873095 - -5267434163467 = -15878198052270
14038739873095 * -5267434163467 = 16046502540019
444139 + 108990 = 553129
444139 - 108990 = 335149
444139 * 108990 = -3947158
-4487957016395 + 10609540933668 = 6121583917273
-4487957016395 - 10609540933668 = -15097497950063
-4487957016395 * 10609540933668 = -4826826038924
246240 + 518648 = -283688
246240 - 518648 = -272408
246240 * 518648 = -478976
-3809602854 + -751968540 = 4028363198
-3809602854 - -751968540 = -3057634314
-3809602854 * -751968540 = -3377211864
12000896 + -43776546 = -31775650
12000896 - -43776546 = 55777442
12000896 * -43776546 = -60493056
-2742713101966263 + -252425260232341 = -2995138362198604
-2742713101966263 - -252425260232341 = -2490287841733922
-2742713101966263 * -252425260232341 = 1604679426507651
7243321429061 + 27045217776246 = 34288539205307
7243321429061 - 27045217776246 = -19801896347185
7243321429061 * 27045217776246 = -773026569778
-567680980 + -919970004 = 659832664
-567680980 - -919970004 = 352289024
-567680980 * -919970004 = 211475344
160374402406992721 + -281918857073533634 = -121544454666540913
160374402406992721 - -281918857073533634 = -134167492822897133
160374402406992721 * -281918857073533634 = 159096725021862558
-143560389432475 + 145666270377174 = 2105880944699
-143560389432475 - 145666270377174 = -289226659809649
-143560389432475 * 145666270377174 = 96440869735022
-18980459935522569 + -190545344109365726 = -209525804044888295
-18980459935522569 - -190545344109365726 = 171564884173843157
-18980459935522569 * -190545344109365726 = 147179964032613070
-8130687702 + 16287082662 = 8156394960
-8130687702 - 16287082662 = 9941968004
-8130687702 * 16287082662 = 15703349564
5808918 + 7339275 = 13148193
5808918 - 7339275 = -1530357
5808918 * 7339275 = -8011790
-783885865055077 + -3484043835994387 = -4267929701049464
-783885865055077 - -3484043835994387 = 2700157970939310
-783885865055077 * -3484043835994387 = 1743144701273471
135249110 + -92200736 = 43048374
135249110 - -92200736 = 227449846
135249110 * -92200736 = 154532672
2 + 1 = 3
2 - 1 = 1
2 * 1 = 2
215058069 + -95383955 = 119674114
215058069 - -95383955 = -226428888
215058069 * -95383955 = -26414223
110 + -241 = -131
110 - -241 = 351
110 * -241 = 114
3 + -4 = -1
3 - -4 = 7
3 * -4 = 4
-54277323912618 + -53181722987726 = -107459046900344
-54277323912618 - -53181722987726 = -1095600924892
-54277323912618 * -53181722987726 = -21572033403188
6103 + 13273 = -13392
6103 - 13273 = -7170
6103 * 13273 = 2623
53936439827 + 57034936579 = -26467577066
53936439827 - 57034936579 = -3098496752
53936439827 * 57034936579 = 28938438969
-286196076436614093 + 73306307962623359 = -212889768473990734
-286196076436614093 - 73306307962623359 = 216958367904186036
-286196076436614093 * 73306307962623359 = -119421551944371123
-440847853 + -43812258061 = -44253105914
-440847853 - -43812258061 = 43371410208
-440847853 * -43812258061 = -46849826295
-628 + -600 = 820
-628 - -600 = -28
-628 * -600 = -32
-118 + -97 = 41
-118 - -97 = -21
-118 * -97 = -74
-25920649303005 + 54768170942319 = 28847521639314
-25920649303005 - 54768170942319 = 60048668110004
-25920649303005 * 54768170942319 = 24554021486637
-1 + -1 = 0
-1 - -1 = 0
-1 * -1 = -1
-276667914635211615 + 9740419156383222 = -266927495478828393
-276667914635211615 - 9740419156383222 = -286408333791594837
-276667914635211615 * 9740419156383222 = 171112369795749814
-1 + 0 = -1
-1 - 0 = -1
-1 * 0 = 0
-1016730666769036 + 3795993988698977 = 2779263321929941
-1016730666769036 - 3795993988698977 = 4194474599272979
-1016730666769036 * 3795993988698977 = 3062441009482996
-8890671551099875 + -4291882066145501 = 4831844892236608
-8890671551099875 - -4291882066145501 = -4598789484954374
-8890671551099875 * -4291882066145501 = -2762885198636297
-95 + 194 = 99
-95 - 194 = 223
-95 * 194 = 2
-10 + 11 = 1
-10 - 11 = 11
-10 * 11 = -14
9 + -125 = -116
9 - -125 = -122
9 * -125 = -101
-107549860592819 + -2046179519446641 = -2153729380039460
-107549860592819 - -2046179519446641 = 1938629658853822
-107549860592819 * -2046179519446641 = 932370105197827
1 + 0 = 1
1 - 0 = 1
1 * 0 = 0
157167631 + 24371605 = 181539236
157167631 - 24371605 = 132796026
157167631 * 24371605 = -506714181
-72338063893936257 + -56875281872075016 = -129213345766011273
-72338063893936257 - -56875281872075016 = -15462782021861241
-72338063893936257 * -56875281872075016 = -165815615512478456
-736221815746 + 1741911456595 = 1005689640849
-736221815746 - 1741911456595 = 1919913238763
-736221815746 * 1741911456595 = 937374806554
69027290938164047 + 88900979837042341 = 157928270775206388
69027290938164047 - 88900979837042341 = -19873688898878294
69027290938164047 * 88900979837042341 = -551394377365797909
3295871514 + -2446032327 = 849839187
3295871514 - -2446032327 = -2848030751
3295871514 * -2446032327 = -1108038710
156179677662341564 + -52375268146059624 = 103804409516281940
156179677662341564 - -52375268146059624 = 208554945808401188
156179677662341564 * -52375268146059624 = 301265654241013664
15156937 + -38920705 = -23763768
15156937 - -38920705 = 54077642
15156937 * -38920705 = 50480951
162254 + -2426665 = -2264411
162254 - -2426665 = 2588919
162254 * -2426665 = -9214
-4 + -14 = -18
-4 - -14 = 10
-4 * -14 = -8
-667017140 + 532916167 = -134100973
-667017140 - 532916167 = 947550341
-667017140 * 532916167 = -314527980
236 + -246 = -10
236 - -246 = -30
236 * -246 = -200
3852081555001555 + 59388240054531172 = 63240321609532727
3852081555001555 - 59388240054531172 = -55536158499529617
3852081555001555 * 59388240054531172 = -7653194276442516
-44896825490556506 + -38647075911995445 = 60571286673303921
-44896825490556506 - -38647075911995445 = -6249749578561061
-44896825490556506 * -38647075911995445 = -7006732266032990
886082698326 + -737309346915 = 148773351411
886082698326 - -737309346915 = -575631210311
886082698326 * -737309346915 = -129351032130
-60350919413927 + -271769693255862 = 230829340751523
-60350919413927 - -271769693255862 = 211418773841935
-60350919413927 * -271769693255862 = -59237754102086
6260 + 3876 = -6248
6260 - 3876 = 2384
6260 * 3876 = -944
-212813310727 + -79597239499 = -292410550226
-212813310727 - -79597239499 = -133216071228
-212813310727 * -79597239499 = 353055163021
-2725785 + -1489364 = 4173459
-2725785 - -1489364 = -1236421
-2725785 * -1489364 = 2431924
-1504 + -1974 = 618
-1504 - -1974 = 470
-1504 * -1974 = -704
118145968931 + -4036254112 = 114109714819
118145968931 - -4036254112 = 122182223043
118145968931 * -4036254112 = -27267047648
-20074236400 + -25652015955 = -45726252355
-20074236400 - -25652015955 = 5577779555
-20074236400 * -25652015955 = 16371124432
130749311575540 + -56296159664085 = 74453151911455
130749311575540 - -56296159664085 = 187045471239625
130749311575540 * -56296159664085 = 460940315738108
779900931512 + -3650774446657 = -2870873515145
779900931512 - -3650774446657 = -4365417644039
779900931512 * -3650774446657 = 530970498120
-871928394346 + 857066424383 = -14861969963
-871928394346 - 857066424383 = -1728994818729
-871928394346 * 857066424383 = 1008448964586
-1752 + -511 = 1833
-1752 - -511 = -1241
-1752 * -511 = -1752
-2532 + -3685 = 1975
-2532 - -3685 = 1153
-2532 * -3685 = -268
-63164515175 + 248294948385 = 185130433210
-63164515175 - 248294948385 = 238296350328
-63164515175 * 248294948385 = -94995833415
290179823374073 + 495046848877845 = -340673234590706
290179823374073 - 495046848877845 = -204867025503772
290179823374073 * 495046848877845 = 222793230559085
28966803326409 + -25820568862070 = 3146234464339
28966803326409 - -25820568862070 = 54787372188479
28966803326409 * -25820568862070 = 71999373471834
8857786689162 + -9200067937554 = -342281248392
8857786689162 - -9200067937554 = -17126517462116
8857786689162 * -9200067937554 = 6123093465164
6 + 1 = 7
6 - 1 = 5
6 * 1 = 6
-161220721638 + 367195584319 = 205974862681
-161220721638 - 367195584319 = -528416305957
-161220721638 * 367195584319 = -335867471770
-211900444266 + 231864550126 = 19964105860
-211900444266 - 231864550126 = 105990819496
-211900444266 * 231864550126 = 246941058420
10217159 + -56346157 = -46128998
10217159 - -56346157 = 66563316
10217159 * -56346157 = -228752123
-3932163 + -3548426 = 908019
-3932163 - -3548426 = -383737
-3932163 * -3548426 = -364770
2784863367903 + -4680414888589 = -1895551520686
2784863367903 - -4680414888589 = 7465278256492
2784863367903 * -4680414888589 = 7777311079725
84665098542326 + 43410402623308 = 128075501165634
84665098542326 - 43410402623308 = 41254695919018
84665098542326 * 43410402623308 = 124969912509192
-1077 + 1667 = 590
-1077 - 1667 = -2744
-1077 * 1667 = -1311
-149802078 + 435770087 = 285968009
-149802078 - 435770087 = 488169659
-149802078 * 435770087 = 277379886
-2199028923 + -714047443 = -2913076366
-2199028923 - -714047443 = -1484981480
-2199028923 * -714047443 = 4472253217
-5391 + -2966 = 8027
-5391 - -2966 = -2425
-5391 * -2966 = -1078
-560580100826 + -559102545342 = 1079340609384
-560580100826 - -559102545342 = -1477555484
-560580100826 * -559102545342 = 23228952524
-81470636 + 36221539 = -45249097
-81470636 - 36221539 = -117692175
-81470636 * 36221539 = -52348548
-67631529070328938 + -190696204378954282 = -258327733449283220
-67631529070328938 - -190696204378954282 = 123064675308625344
-67631529070328938 * -190696204378954282 = 70754449384844644
-235040400714402 + -226969012714153 = 100940539992757
-235040400714402 - -226969012714153 = -8071388000249
-235040400714402 * -226969012714153 = 244838701816050
1461 + 39 = 1500
1461 - 39 = 1422
1461 * 39 = -365
172037 + -163510 = 8527
172037 - -163510 = 335547
172037 * -163510 = -670094
-1 + -1 = -2
-1 - -1 = 0
-1 * -1 = 1
-3961272262 + -1158803718 = 3469858612
-3961272262 - -1158803718 = -2802468544
-3961272262 * -1158803718 = 726709412
-1166271079887955 + -1523964997927558 = -2690236077815513
-1166271079887955 - -1523964997927558 = 357693918039603
-1166271079887955 * -1523964997927558 = -1182910899877518
-981415 + 330486 = -650929
-981415 - 330486 = 785251
-981415 * 330486 = -486522
-16 + -25 = 23
-16 - -25 = 9
-16 * -25 = 16
1984 + -1936 = 48
1984 - -1936 = -176
1984 * -1936 = 1024
-8430477900686 + 6776448549775 = -1654029350911
-8430477900686 - 6776448549775 = -15206926450461
-8430477900686 * 6776448549775 = -5520817532498
-130 + -385 = -515
-130 - -385 = 255
-130 * -385 = 898
3557781 + -22445834 = -18888053
3557781 - -22445834 = 26003615
3557781 * -22445834 = -28166866
31652670435834 + -18482944507920 = 13169725927914
31652670435834 - -18482944507920 = -20233129233910
31652670435834 * -18482944507920 = -9077309185952
-61976694430 + -38005095261 = 37457163781
-61976694430 - -38005095261 = -23971599169
-61976694430 * -38005095261 = 13815052646
-23033292746681343 + -25527621328611121 = 23496679962635472
-23033292746681343 - -25527621328611121 = 2494328581929778
-23033292746681343 * -25527621328611121 = -23477588828355377
18586101 + 5829941 = 24416042
18586101 - 5829941 = 12756160
18586101 * 5829941 = 21387449
8555274548867991 + 3575707038894033 = 12130981587762024
8555274548867991 - 3575707038894033 = 4979567509973958
8555274548867991 * 3575707038894033 = 10335783149518663
0 + -1 = -1
0 - -1 = -1
0 * -1 = 0
141309542944983 + 162606172172958 = -259034238303371
141309542944983 - 162606172172958 = -21296629227975
141309542944983 * 162606172172958 = -27605160910158
-60132569838 + 227339723163 = 167207153325
-60132569838 - 227339723163 = 262283520887
-60132569838 * 227339723163 = 79696231398
931 + 125 = -992
931 - 125 = 806
931 * 125 = -361
-321 + 305 = -16
-321 - 305 = 398
-321 * 305 = 399
-150858136908462 + -959151298311406 = -1110009435219868
-150858136908462 - -959151298311406 = 808293161402944
-150858136908462 * -959151298311406 = -1033822995974716
-36556496582335966 + 46910866076805442 = 10354369494469476
-36556496582335966 - 46910866076805442 = -83467362659141408
-36556496582335966 * 46910866076805442 = -76600096358252860
30305 + 43789 = -56978
30305 - 43789 = -13484
30305 * 43789 = 52717
-713041 + -25402991 = -26116032
-713041 - -25402991 = 24689950
-713041 * -25402991 = 20623391
25497722183083 + -91031414641761 = -65533692458678
25497722183083 - -91031414641761 = 116529136824844
25497722183083 * -91031414641761 = 16714463520309
67611053528 + 258507549980 = 326118603508
67611053528 - 258507549980 = -190896496452
67611053528 * 258507549980 = 33123302304
-2706319703762 + 2736975378558 = 30655674796
-2706319703762 - 2736975378558 = 3352797939888
-2706319703762 * 2736975378558 = -1174939491164
959234076626 + -3668802600545 = -2709568523919
959234076626 - -3668802600545 = -4168056345037
959234076626 * -3668802600545 = -3463123745426
89309 + 65758 = -107077
89309 - 65758 = 23551
89309 * 65758 = -30810
112599411067157454 + 24563248184051449 = 137162659251208903
112599411067157454 - 24563248184051449 = 88036162883106005
112599411067157454 * 24563248184051449 = 27931899009285982
-15975196 + -9712957 = 7866279
-15975196 - -9712957 = -6262239
-15975196 * -9712957 = -5617236
-1674378760 + 2771414518 = 1097035758
-1674378760 - 2771414518 = 4144141314
-1674378760 * 2771414518 = -4171596720
-278680 + -662895 = -941575
-278680 - -662895 = 384215
-278680 * -662895 = -443928
-12593949653929596 + 45420405138210321 = 32826455484280725
-12593949653929596 - 45420405138210321 = -58014354792139917
-12593949653929596 * 45420405138210321 = 8652692935147972
65659 + -42911 = 22748
65659 - -42911 = 108570
65659 * -42911 = 30363
-2444830627985 + 1245025259249 = -1199805368736
-2444830627985 - 1245025259249 = -3689855887234
-2444830627985 * 1245025259249 = -8421466934913
23962911 + 35516405 = 59479316
23962911 - 35516405 = -11553494
23962911 * 35516405 = -40241237
12697961 + 8865129 = -11991342
12697961 - 8865129 = 3832832
12697961 * 8865129 = 16294161
1868 + -1476 = 392
1868 - -1476 = -752
1868 * -1476 = -560
-29917898269 + 63661428874 = 33743530605
-29917898269 - 63661428874 = 43859626329
-29917898269 * 63661428874 = -57458105250
121499097521647 + -1944047812580288 = -1822548715058641
121499097521647 - -1944047812580288 = 2065546910101935
121499097521647 * -1944047812580288 = -1321152093597760
0 + 1 = 1
0 - 1 = -1
0 * 1 = 0
-41 + 2 = -39
-41 - 2 = -43
-41 * 2 = 46
873190 + -2639155 = -1765965
873190 - -2639155 = 3512345
873190 * -2639155 = 1080878
3773577886643 + -4304782068477 = -531204181834
3773577886643 - -4304782068477 = 8078359955120
3773577886643 * -4304782068477 = -5386611342823
5 + 7 = -4
5 - 7 = -2
5 * 7 = 3
-176944894 + 225561825 = 48616931
-176944894 - 225561825 = 134364193
-176944894 * 225561825 = 101417666
386035 + 542971 = 929006
386035 - 542971 = -156936
386035 * 542971 = -338111
39960851289941064 + -28420007053526216 = 11540844236414848
39960851289941064 - -28420007053526216 = 68380858343467280
39960851289941064 * -28420007053526216 = -31677657691813952
-131357503460 + -129648396916 = 13872006568
-131357503460 - -129648396916 = -1709106544
-131357503460 * -129648396916 = 86407355216
8505515353823621 + 7926681085652324 = -1582202070006039
8505515353823621 - 7926681085652324 = 578834268171297
8505515353823621 * 7926681085652324 = 780457027754228
-67063 + -386875 = -453938
-67063 - -386875 = 319812
-67063 * -386875 = 82157
10023080 + 52528718 = 62551798
10023080 - 52528718 = -42505638
10023080 * 52528718 = 37307184
1400990603034 + -2657066394385 = -1256075791351
1400990603034 - -2657066394385 = 4058056997419
1400990603034 * -2657066394385 = -3696707049146
-29 + -48 = 51
-29 - -48 = 19
-29 * -48 = -16
-1 + -1 = 0
-1 - -1 = 0
-1 * -1 = -1
-50835804035985218 + 44727918500717311 = -6107885535267907
-50835804035985218 - 44727918500717311 = 48551465539153343
-50835804035985218 * 44727918500717311 = -63290126466569918
-303441620716 + 411785648814 = 108344028098
-303441620716 - 411785648814 = -715227269530
-303441620716 * 411785648814 = -859647761512
50100119911282 + -17716451596245 = 32383668315037
50100119911282 - -17716451596245 = 67816571507527
50100119911282 * -17716451596245 = 12221147008038
313264989343 + -507177081522 = -193912092179
313264989343 - -507177081522 = -279069556911
313264989343 * -507177081522 = -424500927630
1951754907883 + -1336400763998 = 615354143885
1951754907883 - -1336400763998 = -1109890839223
1951754907883 * -1336400763998 = 1736577586614
5593347 + -7465826 = -1872479
5593347 - -7465826 = -3718043
5593347 * -7465826 = 4926426
-117538090841280 + 8767524504124 = -108770566337156
-117538090841280 - 8767524504124 = -126305615345404
-117538090841280 * 8767524504124 = 66030184768256
3378754022900156 + 3537288679985294 = 6916042702885450
3378754022900156 - 3537288679985294 = -158534657085138
3378754022900156 * 3537288679985294 = -3306030656276920
-77 + 6728 = 6651
-77 - 6728 = -6805
-77 * 6728 = 6232
-5 + 250 = 245
-5 - 250 = -255
-5 * 250 = -226
-54156420 + -22218621 = -76375041
-54156420 - -22218621 = -31937799
-54156420 * -22218621 = -19740556
148794271445762375 + 225770324380440640 = -201896156477220473
148794271445762375 - 225770324380440640 = -76976052934678265
148794271445762375 * 225770324380440640 = 209452839374928320
423870932262569646 + 79011895257981061 = 502882827520550707
423870932262569646 - 79011895257981061 = 344859037004588585
423870932262569646 * 79011895257981061 = -310509464597268378
2610301394893605 + -1958692360945944 = 651609033947661
2610301394893605 - -1958692360945944 = -4438205498901443
2610301394893605 * -1958692360945944 = -4208114107592824
-97900163404970256 + 65285154180026240 = -32615009224944016
-97900163404970256 - 65285154180026240 = -163185317584996496
-97900163404970256 * 65285154180026240 = 76592772595812352
-13858359447 + 8442483331 = -5415876116
-13858359447 - 8442483331 = 12058895590
-13858359447 * 8442483331 = 16745086139
110890651 + 1927492643 = 2038383294
110890651 - 1927492643 = -1816601992
110890651 * 1927492643 = -1816233167
20004699914121 + -16677486256155 = 3327213657966
20004699914121 - -16677486256155 = -33686558007388
20004699914121 * -16677486256155 = -17238962377587
-840091700022 + -613552764057 = 745378791473
-840091700022 - -613552764057 = -226538935965
-840091700022 * -613552764057 = -668277691578
-845535833380 + 937593214975 = 92057381595
-845535833380 - 937593214975 = 415894207197
-845535833380 * 937593214975 = 917543685412
292 + 700 = 992
292 - 700 = -408
292 * 700 = -400
4343451301102107 + 8096409773127799 = -5574537435252078
4343451301102107 - 8096409773127799 = -3752958472025692
4343451301102107 * 8096409773127799 = -7737933226270067
-5 + -4 = 7
-5 - -4 = -1
-5 * -4 = 4
-133742480 + -107694536 = -241437016
-133742480 - -107694536 = -26047944
-133742480 * -107694536 = 438679680
-434 + 1563 = 1129
-434 - 1563 = -1997
-434 * 1563 = 1594
-6909003909438 + -8203058522960 = 2480123612018
-6909003909438 - -8203058522960 = 1294054613522
-6909003909438 * -8203058522960 = -3777544499872
-20138358446 + 31712175657 = 11573817211
-20138358446 - 31712175657 = -51850534103
-20138358446 * 31712175657 = 168719755810
43 + 39 = 82
43 - 39 = 4
43 * 39 = -115
-818121978 + 439606688 = -378515290
-818121978 - 439606688 = 889754982
-818121978 * 439606688 = 994447808
40874110929324 + 307240442585065 = 348114553514389
40874110929324 - 307240442585065 = -266366331655741
40874110929324 * 307240442585065 = 175695332401548
791341194975041 + 754409382478434 = -706049236231773
791341194975041 - 754409382478434 = 36931812496607
791341194975041 * 754409382478434 = 309177642543330
18 + 15 = -31
18 - 15 = 3
18 * 15 = 14
2141240513476988 + -1831801463365410 = 309439050111578
2141240513476988 - -1831801463365410 = 3973041976842398
2141240513476988 * -1831801463365410 = 3873191663196552
-1169045530 + -367569385 = -1536614915
-1169045530 - -367569385 = -801476145
-1169045530 * -367569385 = 1747597738
45625097770 + 62656980081 = 108282077851
45625097770 - 62656980081 = -17031882311
45625097770 * 62656980081 = -3107989366
-68561005 + -5507051 = -74068056
-68561005 - -5507051 = -63053954
-68561005 * -5507051 = -13232369
7272398530 + -26414489258 = -19142090728
7272398530 - -26414489258 = 33686887788
7272398530 * -26414489258 = -774105300
-3069019240568216 + -5235651867456839 = -8304671108025055
-3069019240568216 - -5235651867456839 = 2166632626888623
-3069019240568216 * -5235651867456839 = -4734495591893720
-200774100475 + 166319336900 = -34454763575
-200774100475 - 166319336900 = -367093437375
-200774100475 * 166319336900 = -237861778220
78 + 98 = -80
78 - 98 = -20
78 * 98 = -36
6 + 1 = 7
6 - 1 = 5
6 * 1 = 6
38 + 91 = -127
38 - 91 = -53
38 * 91 = -126
76631114380474337 + -22941701827477017 = 53689412552997320
76631114380474337 - -22941701827477017 = 99572816207951354
76631114380474337 * -22941701827477017 = 35391633054518535
92299500555 + 119378708092 = 211678208647
92299500555 - 119378708092 = -27079207537
92299500555 * 119378708092 = 181929203540
-2199339699172907 + 1166548424013182 = -1032791275159725
-2199339699172907 - 1166548424013182 = 1137711504184407
-2199339699172907 * 1166548424013182 = -2169598987997226
-127 + -62 = 67
-127 - -62 = -65
-127 * -62 = -62
271498474857 + 191893828694 = -86363510337
271498474857 - 191893828694 = 79604646163
271498474857 * 191893828694 = 35906848070
50564 + 229131 = 279695
50564 - 229131 = -178567
50564 * 229131 = 63660
5350152948 + 1061582456 = 6411735404
5350152948 - 1061582456 = 4288570492
5350152948 * 1061582456 = 3807058528
-100853657921 + 40654846658 = -60198811263
-100853657921 - 40654846658 = 133369402365
-100853657921 * 40654846658 = 110763799230
-118357184471 + 37222348648 = -81134835823
-118357184471 - 37222348648 = 119298373825
-118357184471 * 37222348648 = 13406445480
-36588242662 + 6314164892 = -30274077770
-36588242662 - 6314164892 = -42902407554
-36588242662 * 6314164892 = 105323691992
92 + -5 = 87
92 - -5 = 97
92 * -5 = 52
-652228658589202 + 464778175141183 = -187450483448019
-652228658589202 - 464778175141183 = -1117006833730385
-652228658589202 * 464778175141183 = 937187474173842
-2 + 1 = -1
-2 - 1 = 1
-2 * 1 = -2
335402447963917 + 506758147780587 = -283739311098120
335402447963917 - 506758147780587 = -171355699816670
335402447963917 * 506758147780587 = -373304805041169
-333404926476 + 3936378015 = -329468548461
-333404926476 - 3936378015 = -337341304491
-333404926476 * 3936378015 = -314759980404
-25503 + 648 = -24855
-25503 - 648 = -26151
-25503 * 648 = -10872
-7127973 + -8011263 = 1637980
-7127973 - -8011263 = 883290
-7127973 * -8011263 = -6868389
2687 + -8544 = -5857
2687 - -8544 = 11231
2687 * -8544 = 12640
-782021264910757 + 12734045847480643 = 11952024582569886
-782021264910757 - 12734045847480643 = -13516067112391400
-782021264910757 * 12734045847480643 = -11074984854065967
-11655038527181 + 13235953600213 = 1580915073032
-11655038527181 - 13235953600213 = 10293379961438
-11655038527181 * 13235953600213 = 5558823004527
-267469117 + 229878432 = -37590685
-267469117 - 229878432 = 39523363
-267469117 * 229878432 = -46286880
-535382180 + 199728969 = -335653211
-535382180 - 199728969 = 338630675
-535382180 * 199728969 = -362779332
13402466993255 + 2690363663742 = 16092830656997
13402466993255 - 2690363663742 = 10712103329513
13402466993255 * 2690363663742 = -3798635115086
18816811925736278 + -33820705697519238 = -15003893771782960
18816811925736278 - -33820705697519238 = 52637517623255516
18816811925736278 * -33820705697519238 = 2819473383632124
216 + -109 = 107
216 - -109 = 325
216 * -109 = 8
-1037521561 + -131716153 = 978245934
-1037521561 - -131716153 = -905805408
-1037521561 * -131716153 = -938928111
1688981 + 525289 = 2214270
1688981 - 525289 = 1163692
1688981 * 525289 = -1207395
-16938 + -62285 = 51849
-16938 - -62285 = 45347
-16938 * -62285 = -15198
127105930396448325 + -562226391063519821 = -435120460667071496
127105930396448325 - -562226391063519821 = -463589183146878830
127105930396448325 * -562226391063519821 = -297074800189848769
-3001 + 2828 = -173
-3001 - 2828 = 2363
-3001 * 2828 = 84
-10 + 14 = 4
-10 - 14 = 8
-10 * 14 = -12
-13032367 + 2883053 = -10149314
-13032367 - 2883053 = -15915420
-13032367 * 2883053 = 6663165
8779521119270 + 15571374928008 = -10833476041554
8779521119270 - 15571374928008 = -6791853808738
8779521119270 * 15571374928008 = -16820176202704
-12 + 13 = 1
-12 - 13 = 7
-12 * 13 = 4
298371149880463 + -294976742052855 = 3394407827608
298371149880463 - -294976742052855 = 593347891933318
298371149880463 * -294976742052855 = -463055761222393
-692191438297753 + 13465464110117466 = 12773272671819713
-692191438297753 - 13465464110117466 = -14157655548415219
-692191438297753 * 13465464110117466 = -33950228465023946
6249393820997 + -6283146216796 = -33752395799
6249393820997 - -6283146216796 = -5059646006623
6249393820997 * -6283146216796 = -3457499512268
3035 + 3160 = 6195
3035 - 3160 = -125
3035 * 3160 = 5960
3109769197337 + -6230007014131 = -3120237816794
3109769197337 - -6230007014131 = -8252409832948
3109769197337 * -6230007014131 = 7123812327749
16560475799489 + -10090872243667 = 6469603555822
16560475799489 - -10090872243667 = 26651348043156
16560475799489 * -10090872243667 = 34643061599981
16543735997234901 + 40008533515441626 = 56552269512676527
16543735997234901 - 40008533515441626 = -23464797518206725
16543735997234901 * 40008533515441626 = -20341106087200158
385 + 3213 = 3598
385 - 3213 = -2828
385 * 3213 = 13
-7570627841044 + -4763962721320 = 5257595482052
-7570627841044 - -4763962721320 = -2806665119724
-7570627841044 * -4763962721320 = -6323439586528
9765814 + -28772824 = -19007010
9765814 - -28772824 = 38538638
9765814 * -28772824 = 620656
3583212 + -4184635 = -601423
3583212 - -4184635 = -620761
3583212 * -4184635 = 1125788
-1631378 + 1851079 = 219701
